name_zh,name_en,industry,sub_industry,hq_location,size_signal,dev_team_signal,overseas_signal,digital_stage,ai_adoption,hypothesis,source_url
深圳库犸科技有限公司,Mammotion,制造,庭院机器人（割草/泳池/除雪）,深圳,400-1000,4,5,3,4,大疆系创始人、团队400+且德国/北美设子公司，无边界割草机器人以RTK+激光雷达+AI Vision为核心卖点，算法团队扩张期对AI研发工具链和仿真/标注API采购意愿强。,https://jobs.mammotion.cn/pages/mammotion-profile
影石创新科技股份有限公司,Insta360,制造,智能影像（全景/运动相机）,深圳,1000-5000,5,5,4,4,科创板上市（688775）、海外收入占比超80%、研发人员1367人占比约58%，AI影像处理与计算摄影为核心技术栈，大规模工程师团队是AI编程助手与视觉AI API的天然买家。,https://www.stdaily.com/web/gdxw/2025-06/11/content_353292.html
深圳市韶音科技有限公司,Shokz,制造,声学/运动耳机,深圳,,4,5,3,3,全球骨传导/开放式耳机龙头、年销约70亿且海外为主战场，声学算法与AI通话降噪持续投入，百余人研发团队叠加全球电商运营，对AI研发工具与营销内容生成API有潜在需求。,https://www.21jingji.com/article/20230914/herald/52450743c3f358cfa57841537ea66dea.html
深圳市创想三维科技股份有限公司,Creality,制造,3D打印,深圳,,4,4,3,2,2026年港股上市（03388.HK）的'消费级3D打印第一股'，欧美设子公司、全球入门级出货量领先，上市后募资投向研发与数字化，切片软件与云平台团队是开发者工具的切入对象。,https://www.szlhq.gov.cn/bmdt/content/post_12828283.html
深圳市普渡科技有限公司,Pudu Robotics,制造,商用服务机器人,深圳,,5,4,4,4,全球商用服务机器人头部企业，自研VSLAM/具身智能全栈技术并率先在海外市场发布新品，大规模机器人软件团队对大模型API（交互/规划）与AI编程工具均有直接预算。,https://www.pudutech.com/zh-CN/company
睿魔智能科技（深圳）有限公司,OBSBOT,制造,AI影像/智能摄像头,深圳,200-500,4,5,3,4,AI追踪摄像头销往150+国、高端品类全球份额超50%，深度学习即产品核心、获红杉/CICC多轮融资，200+人团队以算法研发为主，是中型成长企业中AI开发工具的高匹配标的。,https://jdjyw.jlu.edu.cn/portal/jyzp/recruit/details?id=5856793d8a88469b8ab09c4746a46d15
利丰有限公司,Li & Fung Limited,其他,供应链管理/贸易,香港,10000+（全球，冯氏集团合计逾4万）,4,5,5,4,百年供应链龙头已设LFX数字子公司并与IFC合作推进供应链数字化，对供应链可视化、单证自动化类AI API有持续采购力,https://www.lifung.com/
嘉里物流联网有限公司,"KLN Logistics Group Limited (Kerry Logistics Network, 0636.HK)",物流,综合物流/国际货代/供应链解决方案,香港（葵涌嘉里货运中心）,30000+（全球网络遍及六大洲59个国家及地区）,3,5,4,3,亚洲头部3PL、顺丰控股，全球59国网络带来海量跨境单证与订舱流程，适合销售货代自动化与AI文档处理API,https://www.kln.com/tc/contacts/
啦啦科技（货拉拉/Lalamove）,Lalamove (Easy Mobile Logistics Hong Kong Limited),物流,物流科技/同城及跨城货运平台,香港,5000–10000,5,4,5,4,2013年香港成立的自研物流平台，智能调度依赖大数据与AI，是开发者工具与模型API的直接重度买家,https://zh.wikipedia.org/zh-cn/Lalamove
快狗打车控股有限公司,GOGOX Holdings Limited (02246.HK),物流,物流科技/线上同城物流平台,香港,1000–5000,4,3,5,3,香港上市的同城货运平台（GOGOVAN合并而来），业务覆盖中国内地、香港、新加坡、韩国、印度，平台算法与客服自动化有API采购空间,https://stock.finance.sina.com.cn/hkstock/info/02246.html
友货运控股有限公司,FreightAmigo Services Limited,物流,物流科技/数字货代/供应链金融平台,香港,20–100,3,3,5,4,香港科学园孵化的TradeTech平台，自称结合AI、大数据、区块链，客户遍及二十多国，团队精干、对AI API采纳速度快,https://www.hkstp.org/zh-cn/directory/information-communications-technology/freightamigo-services-limited
嘉泓物流国际控股有限公司,CN Logistics International Holdings Limited (02130.HK),物流,国际货代/跨境电商物流,香港,1000–5000,2,4,3,2,时尚及精品跨境货代，2024年收益27.5亿港元并推B2C集运平台CNShip4Shop，欧洲/美国设点，数字化转型需求明确,https://q.futunn.com/feed/114256495247764
Spaceship,Spaceship (Spaceship Pro),物流,物流科技/国际快递比价与电商履约平台,香港,20–100,3,3,5,3,香港科技园培育的「物流界Hotels.com」，自研比价+自动报关SaaS并上架Shopify，是典型API优先的技术型客户,https://www.hkstp.org/zh-hk/insights/innovative-stories/innopark-made-in-hk/innopark-made-in-hong-kong/tatler/Spaceship-Lam-Wun-Chi/Spaceship
太平洋航运集团有限公司,Pacific Basin Shipping Limited (02343.HK),物流,干散货航运/国际贸易海运,香港（黄竹坑One Island South）,3000–5000（含船员）,2,5,3,2,全球小灵便型干散货龙头，正通过Marcura等数字化工作流做制裁合规与单证筛查，AI合规与文档处理场景可切入,https://www.pacificbasin.com/sc/about/history.php
溢达集团,Esquel Group,其他,纺织服装制造/纵向一体化供应链/出口贸易,香港（湾仔海港中心）,35000–55000（全球10国）,3,4,4,3,全球最大全棉衬衫出口商之一，公开定位「知识型创新公司」并推数智化供应链，制造质检与供应链预测类AI有落地场景,https://www.esquel.com/zh-hans/news/esquel-group-appoints-edgar-tung-new-chief-executive-officer
Pickupp,Pickupp Limited,物流,物流科技/最后一公里智能配送,香港,100–500,3,3,5,3,数码港培育的香港智慧物流初创，自研语言处理与地址识别AI，获怡和、太古等投资并拓展东南亚，AI API采纳度高,https://almac.hktdc.com/conference/almac/sc/exclusive-insights-pickupp
Buy&Ship,Buyandship,物流,跨境电商/国际集运物流科技,香港,100–300,3,4,5,4,香港跨境集运平台，2026年1月完成1200万美元C轮首关并明确投向AI自动化，正筹备上市，预算与意愿俱足,https://www.hkstp.org/zh-cn/park-life/news-and-events/news/buyandship-announces-first-closing-of-12-million-series-c-funding
卓佳集团,Tricor Group,其他,企业服务/跨境商务及合规专业服务,香港（鲗鱼涌太古坊）,9000+（全球50+市场）,3,5,4,2,亚洲领先的企业拓展服务商，管理逾20万家实体、跨境合规文书量巨大，公司秘书与KYC文档自动化AI需求显著,https://www.tricorglobal.com/en/about-us
云途物流,YunExpress,物流,跨境专线物流,深圳,1500+人（官网口径，估现3000+）,4,4,4,3,纵腾旗下B2C专线头部玩家，自研分拣与轨迹系统，研发团队对代码协作、CI/CD与AI编码工具有规模化采购潜力,https://www.yunexpress.cn/
递四方,4PX Worldwide Express,物流,跨境物流/海外仓,深圳,数千人（未见权威口径）,5,4,5,3,以IT和大数据为核心驱动的跨境供应链龙头，自研系统体量大，是开发者工具与AI辅助编程的高价值标杆客户,https://www.4px.com/viewm/company.html
万邑通,WINIT,物流,海外仓/跨境履约,深圳,1000–3000人（估）,4,5,4,3,头部海外仓服务商，自研WMS并开放开发者API平台，研发团队持续扩张，适合切入研发效能与API管理工具,https://winit.com/html/contact_us.html
易仓科技,ECCANG,物流,物流科技/跨境ERP,深圳,500–1000人（估）,4,3,5,3,跨境ERP/WMS/TMS纯软件公司，研发即核心生产力，是IDE插件、代码托管与测试工具的直接目标买家,https://m.amz123.com/eccang/introduction
店小秘,DianXiaoMi,物流,物流科技/跨境SaaS,深圳,1000–2000人（估）,4,4,5,4,已内置GPT刊登、AI美图等功能的SaaS厂商，日处理千万级订单，对AI开发平台、LLM接入与工程效率工具付费意愿强,https://www.dianxiaomi.com/about.htm
三态股份,SFC Holdings,物流,跨境物流/跨境电商,深圳,1000–2000人（估）,4,4,5,4,创业板上市公司，专设AI SaaS业务线（睿观知识产权合规检测），募资投向系统智能化升级，有明确的研发工具与AI基础设施预算,https://wxly.p5w.net/company/301558.html
易达云,EDA Group Holdings,物流,海外仓/跨境供应链,深圳,500–1000人（估）,3,5,4,3,港股'海外仓第一股'，依托自研SaaS管理11国60+仓，券商定位'AI+物流'方向，上市后数字化投入加大，是SaaS化研发工具的成长期客户,https://www.edayun.com/aboutUs
嘉里物流,Kerry Logistics Network (KLN),物流,国际货代/综合物流,香港,全球逾万名员工（估）,4,5,4,3,全球网络遍及六大洲的国际3PL标杆，跨国分布式研发团队对企业级开发协作、安全合规工具存在集团化采购需求,https://beltandroad.hktdc.com/sc/service-providers/kerry-logistics-hong-kong-limited
卓志集团,Top Ideal,物流,跨境供应链/国际物流,广州,1000–3000人（估）,3,3,4,3,设数字科技事业群的数智化跨境供应链集团，自建通关与供应链平台，中型研发团队存在标准化研发工具与云原生改造机会,https://www.topideal.com/cn/about
拓威天海,,物流,中美专线/海外仓,广州,250–300人,3,4,3,2,获B轮融资打造'全球供应链数字化交付平台'，自建系统直连运输各节点，融资后技术团队扩招期是开发者工具切入窗口,https://m.36kr.com/p/2749949746952964
泰嘉物流,TakeSend,物流,国际货代/跨境专线,深圳,100–500人（估）,2,3,3,,中型跨境货代，业务高度依赖渠道与订单系统，属于轻量化SaaS工具与AI单证/客服场景的长尾潜在客户,https://www.takesend.com/about/
美的集团,Midea Group,制造,家电,佛山（顺德北滘）,10万+员工（全球）,5,5,5,4,全球化标杆：海外收入占比约43%、29个海外研发中心，自有美云智数输出数字化能力，对开发者工具/AI工程效能产品付费能力强，适合作为标杆客户与生态背书,https://www.midea.com.cn/content/dam/mideacn-aem/%E6%8A%95%E8%B5%84%E8%80%85%E5%85%B3%E7%B3%BB/2025%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf.coredownload.inline.pdf
格兰仕集团,Galanz Group,制造,家电,佛山（顺德）,3万+员工,4,4,3,2,微波炉全球代工龙头转型自主品牌出海（北美、越南增长快），自研芯片与工业4.0基地，研发与智能制造团队在扩，对代码协作与嵌入式研发工具有潜在需求,https://cn.chinadaily.com.cn/a/202012/31/WS5fed3ceba3101e7ce973873f.html
万和电气,Guangdong Vanward New Electric,制造,家电（热水器/厨电）,佛山（顺德/高明）,,3,4,3,,中型出海标杆：出口营收占比超42%且在泰国、埃及建海外基地，A股上市（002543），海外产能扩张期对跨国协同、研发与供应链数字化工具需求上升,https://www.cls.cn/detail/2128711
林氏家居,LINSY (林氏木业),制造,家具,佛山（南海）,,3,3,4,3,互联网原生家具品牌，以数据驱动新零售起家，海外品牌LINSY加速布局东南亚/中东/拉美，跨境电商与海外门店系统、AI设计和营销工具是其技术采购方向,http://ex.chinadaily.com.cn/exchange/partners/82/rss/channel/cn/columns/sz8srm/stories/WS692ff5e2a310942cc4994c29.html
索菲亚家居,Suofeiya Home Collection,制造,定制家居,广州,1万+员工,3,2,4,2,定制家居龙头（002572），智能制造与工业4.0工厂成熟，海外业务（覆盖20余国、2025H1增速39%）正从试水转向新动能，海外经销商管理/跨境交付系统是切入场景,http://fc.homelifestyle.cn/?p=9900
慕思股份,DeRucci Healthy Sleep,制造,家具（寝具）,东莞,,3,3,3,3,高端寝具品牌（001323），收购新加坡MIPL及印尼工厂PTTC、在澳美加设有专卖店，AI智能床垫是其产品卖点，出海并购后的海外IT整合与智能硬件研发是工具采购窗口,https://www.cls.cn/detail/1891992
雷士照明,NVC Lighting,制造,照明,惠州,,3,3,3,,照明头部品牌，总部归集惠州、拥有CNAS实验室，经雷士国际承接卡塔尔世界杯等海外工程项目，工程照明出海对项目型交付管理与设计软件有需求,https://cnews.chinadaily.com.cn/a/202512/30/WS695348eda310942cc499948b.html
木林森,"MLS Co., Ltd.",制造,照明（LED封装+品牌）,中山,2万+员工,4,5,4,,LED封装全球第一、收购朗德万斯LEDVANCE后境外收入占比59%、60余家海外子公司（002745），全球化IT治理与跨时区研发协同工具需求明确，且已建5G+智慧工厂,https://zsrbapp.zsnews.cn/home/content/newsContent/0/667435
马可波罗控股,Marco Polo Holdings,制造,建材（建筑陶瓷）,东莞,,3,3,3,2,瓷砖龙头（001386），产品远销130多国、美国田纳西设厂，招股书明确推进数字化营销，中东中亚新兴市场拓展+海外工厂对跨境供应链与营销数字化工具有需求,https://www.yicai.com/news/102796104.html
东鹏控股,Dongpeng Holdings,制造,建材（陶瓷/卫浴）,佛山,1万+员工,3,2,3,,建陶龙头（003012），商标注册近30国、出口美加澳，已推全链路在线化家装服务平台和数字化营销，有自建数字化团队，是开发者工具的中型目标,http://paper.people.com.cn/rmrbhwb/pc/content/202501/22/content_30053326.html
悍高集团,Higold Group,制造,家居五金,佛山（顺德杏坛）,,3,3,3,,功能五金第一股（001221，2025年上市），产品进入90余国、募资投向研发中心与信息化建设，专利超1000项，上市后信息化建设预算释放，是研发工具采购的窗口期客户,https://news.10jqka.com.cn/20250731/c670033208.shtml
明门（中国）幼童用品,Wonderland Nurserygoods (China),制造,婴童用品（耐用消费品制造）,东莞（清溪）,,3,4,2,,全球婴幼儿产品ODM大厂（婴儿车/安全座椅），厂区33万平米、国家高新技术企业，业务天然面向欧美品牌客户，研发与合规文档密集，对研发协同与知识管理工具有潜在需求,https://www.wonderlandchina.com/
深圳比亚迪储能有限公司,"Shenzhen BYD Energy Storage Co., Ltd.",制造,储能系统/储能电池,深圳,万人级（比亚迪集团员工超22万人）,5,5,5,4,集团级标杆客户：自研BMS/EMS与电池体系庞大，外采开发者工具门槛高，但其庞大软件研发团队具灯塔型合作价值。,https://m.energytrend.cn/news/20240407-134859.html
古瑞瓦特（Growatt）,"Growatt Technology Co., Ltd",制造,户用储能/光伏逆变器,深圳,,4,5,3,3,全球第三大户储逆变器商、正冲刺港股IPO，销售网络覆盖约190国且布局AI能源管理系统，快速扩张期的研发与全球化团队对提效工具需求旺盛。,https://news.futunn.com/post/74819041/ipo-preview-growatt-s-aggressive-transformation-how-deep-are-the
深圳市首航新能源股份有限公司,SOFAR New Energy,制造,光伏逆变器/储能,深圳,,4,4,3,,创业板上市逆变器企业，2015年起出口、以欧洲等海外市场为主，嵌入式+监控软件研发团队规模可观，是中型成长型工具采购画像。,https://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202311/RAS_202311_E55767F2DB9549DEA7C6ED9A6DEADBB8.pdf
深圳市华宝新能源股份有限公司,Hello Tech Energy (Jackery),制造,便携储能/家庭光储,深圳,,4,5,3,,创业板上市的便携储能头部品牌（Jackery），海外收入占比约94%、研发人员占比20%，北美基本盘+DTC模式对研发协作与数据工具需求明确。,https://pdf.dfcfw.com/pdf/H3_AP202410311640646499_1.pdf
深圳市德兰明海新能源股份有限公司,BLUETTI (PowerOak),制造,便携储能/用户侧储能,深圳,,4,5,3,,全球第四便携储能厂商，产品销往120+国家、海外营收占比近100%，正冲刺港股IPO，全链条自研模式下研发扩张带来工具链采购窗口。,https://stock.hexun.com/2026-02-15/223497768.html
深圳市禾望电气股份有限公司,"Shenzhen Hopewind Electric Co., Ltd.",制造,储能变流器PCS/光伏逆变器/风电变流器,深圳,,4,2,3,,A股上市电力电子研发型公司，构网型储能技术领先并设市级工程研究中心，研发密度高；出海尚处早期，随海外拓展数字化与研发工具投入将加大。,http://static.cninfo.com.cn/finalpage/2025-08-08/1224425282.PDF
深圳市盛弘电气股份有限公司,"Shenzhen Sinexcel Electric Co., Ltd.",制造,储能PCS/充电桩,深圳,"约2,669人（2025年，EMIS口径）",4,3,3,,储能PCS出货全国前四、充电桩通过欧标认证并进入BP供应链，'充储双轮'出海加速，中型上市公司体量正是开发者工具的核心目标客户画像。,https://news.10jqka.com.cn/20240511/c657735888.shtml
深圳科士达科技股份有限公司,"Shenzhen KSTAR Science & Technology Co., Ltd.",制造,储能/UPS/光伏逆变器,深圳,,4,3,3,,UPS起家、与宁德时代合资布局户储，海外储能ODM放量并已建越南工厂，数据中心+新能源双线研发团队对软硬件工具均有稳定预算。,http://www.nbd.com.cn/rss/toutiao/articles/2808730.html
广州鹏辉能源科技股份有限公司,"Guangzhou Great Power Energy & Technology Co., Ltd.",制造,储能电池/锂电池,广州,,4,4,3,,储能电芯龙头（户储电芯全球市占率约28%），2026H1境外收入同比+157%且拥有日本福井基地，连续九季度BNEF Tier1，电芯研发+海外交付体系扩张带来工具采购机会。,https://www.news.cn/energy/20260828/dcdf803f3d054bef8765eda09a954b8a/c.html
广州三晶电气股份有限公司,"SAJ Electric (Guangzhou Sanjing Electric Co., Ltd.)",制造,光伏逆变器/储能逆变器,广州,,3,4,2,,国家级专精特新小巨人，境外收入占比近7成、正推进IPO，属典型'研发驱动+欧洲市场依赖'的中型逆变器企业，数字化基础相对薄弱、工具渗透空间大。,https://www.elecfans.com/d/1894795.html
易事特集团股份有限公司,"EAST Group Co., Ltd.",制造,储能/UPS/充电桩/光伏逆变器,东莞,,4,3,3,,老牌电源上市公司（UPS/储能/充电桩），年报明确向海外客户输出系列产品并持续扩张海外市场，产品线多元带来跨团队研发协作工具需求。,http://static.cninfo.com.cn/finalpage/2025-08-29/1224603963.PDF
广东拓斯达科技股份有限公司,"Guangdong Topstar Technology Co., Ltd.",制造,工业机器人/注塑自动化/数控机床,东莞,上市公司（300607），2023年营收约45.5亿元，员工数千人,4,3,3,3,全栈机器人+注塑装备企业，正拓越南/北美市场，其数百人研发团队对嵌入式、控制软件与协同开发工具需求明确，出海后跨地域研发协作工具是切入点。,https://static.cninfo.com.cn/finalpage/2025-04-22/1223195250.PDF
东莞市李群自动化技术有限公司,QKM (Quotient Kinematics Machine) / Lee's Automation,制造,轻量型工业机器人（SCARA/Delta/六轴）,东莞,,3,2,,,李泽湘系机器人企业，自研驱控一体控制器与开放软件平台，研发团队精干但软件占比高，适合以开发者工具单点突破；出海仍处早期，英文技术支持工具链有增量空间。,https://www.yicai.com/news/101253258.html
云鲸智能科技（东莞）有限公司,Narwal Robotics,制造,家庭服务机器人（扫拖/洗地机器人）,东莞（松山湖）,,4,5,,4,出海为'第二次创业'、覆盖50+国家的消费机器人公司，软硬件与算法团队规模大，海外App/云服务/多语言交付对DevOps与开发者工具付费意愿高。,https://finance.sina.cn/tech/2026-01-15/detail-inhhkmpv3360845.d.html?vt=4
东莞怡合达自动化股份有限公司,"Dongguan Yiheda Automation Co., Ltd.",制造,FA工厂自动化零部件一站式供应,东莞,上市公司（301029），2025年归母净利5.12亿元，员工数千人,3,2,4,2,以数字化选型/电商平台为核心的自动化零部件龙头，已设越南子公司推进出海，其平台型软件团队是开发者工具与跨境系统建设的天然买家。,http://static.cninfo.com.cn/finalpage/2026-04-28/1225215851.PDF
深圳市越疆科技股份有限公司,Shenzhen Dobot Corp Ltd,制造,协作机器人/具身智能机器人,深圳,H+A上市公司（02432.HK），2025年营收约4.93亿元,4,4,3,4,协作机器人出海标杆、海外收入占比高，研发与全球技术支持团队对英文文档、SDK工具链和跨时区协作开发平台有持续预算。,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0715/2026071501434_c.pdf
海目星激光科技集团股份有限公司,"Hymson Laser Technology Group Co., Ltd.",制造,激光及自动化设备（锂电/光伏/3C）,深圳,上市公司（688559），深圳/江门/常州/成都四大基地,4,4,3,3,斩获12.5亿元海外动力电池设备订单并收购德国Xteg，欧美子公司落地带来跨语言研发协同、海外售后软件与合规工具需求。,https://www.hymson.com/news/corporate-news/583.html
斯坦德机器人（深圳）有限公司,"Standard Robots Co., Ltd.",制造,工业移动机器人（AMR）及柔性物流,深圳,501–1000人（LinkedIn口径），2025年营收约3亿元，冲刺港股IPO,4,3,3,3,研发占比约50%的AMR算法公司，产品销往日美等20余国并招聘海外售后，自研机器人操作系统+调度平台团队对研发效能工具接受度高。,https://standard-robots.com/about
深圳优艾智合机器人科技有限公司,Youibot Robotics,制造,工业移动机器人/巡检机器人（AMR）,深圳,,3,3,,3,以'被集成'战略经代理商进入60余国并设立日本子公司，中型全栈机器人研发团队随海外项目交付扩张，标准化开发与远程运维工具存在切入窗口。,https://finance.sina.com.cn/tech/roll/2025-02-27/doc-inemxmap0831792.shtml
深圳市优必选科技股份有限公司,UBTech Robotics Corp Ltd,制造,人形机器人/服务机器人,深圳,港股上市（09880.HK），2025年营收20.01亿元，研发团队948人,5,3,4,5,知名标杆：近千人研发团队、AI为核心业务，开发者工具采购成熟但竞争激烈，适合作为标杆客户以具身智能仿真/数据工具链切入。,http://www.sznews.com/news/content/2026-03/31/content_31999448.htm
深圳中电港技术股份有限公司,"CECport Technology Co., Ltd.",其他,半导体分销/元器件电商/设计链服务,深圳,,4,3,5,3,央企背景分销龙头，已自建芯查查数据引擎与亿安仓供应链平台，对开发者工具/AI提效产品有明确预算与采购通道。,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/f5977bb5-8a9c-4938-88f9-1cf28e62bf8d.PDF
深圳华强实业股份有限公司,"Shenzhen Huaqiang Industry Co., Ltd.",其他,电子元器件授权分销/产业互联网平台（华强电子网）,深圳,,4,3,4,2,华强北系标杆，旗下华强电子网集团为自研B2B交易平台，平台化运营团队对内部研发工具与数据服务有持续需求。,https://www.hqengroup.com/
深圳市好上好信息科技股份有限公司,Best of Best Holdings Limited (HaoShangHao),其他,电子元器件分销/物联网方案设计/芯片定制,深圳,,3,2,,1,从分销向方案设计与芯片定制升级的成长型上市公司，研发与FAE团队扩张期，适合切入研发协作与嵌入式开发工具。,http://pdf.dfcfw.com/pdf/H2_AN202112241536470871_1.pdf
深圳市科通技术股份有限公司,Comtech / Ingdan Group (硬蛋创新),其他,芯片分销/芯片应用技术服务/AIoT方案,深圳,500-1000,4,3,3,3,以芯片应用技术服务为核心的方案型分销商（母公司港股上市），设有微电子研究院，技术团队密集，是开发者工具的优质目标客户。,https://www.comtech.cn/news-show/1071.html
深圳市拍明芯城电子有限公司,ICZOOM Group Inc. (Nasdaq: IZM),其他,电子元器件B2B电商/供应链服务,深圳,,3,3,4,2,纳斯达克上市的撮合式元器件交易平台，深港两地运营并拓展东南亚，自研平台团队规模小但数字化即主业，适合轻量级SaaS与AI工具销售。,https://news.futunn.com/post/76154901/iczoom-group-inc-announces-receipt-of-nasdaq-continued-listing-deficiency
深圳嘉立创科技集团股份有限公司（立创商城）,JLC Technology Group / LCSC,其他,元器件自营电商/PCB制造/EDA工业软件,深圳,10000+,5,4,5,3,自研EDA+自营电商+智能工厂的全数字化集团，海外JLCPCB/LCSC业务体量大，大规模研发团队是开发者工具的头号标杆客户。,https://www.jlcgroup.cn/
深圳华秋智联股份有限公司,Huaqiu (HQchip),其他,元器件电商/PCB与SMT数字化平台/DFM软件,深圳,,4,2,4,2,产业数字化一站式平台，自研华秋DFM软件并运营工程师社区，有自有研发团队与工具类产品基因，对开发者工具有天然亲和力。,https://www.huaqiu.com/about/groupoverview
